Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
31,12,1993,4,4,hru04           ,905.,.247E+05,.348E+05,.137E+09
31,12,1993,5,5,hru05           ,.209E+04,.229E+07,63.7,.201E+09
31,12,1993,6,6,hru06           ,536.,.106E+07,16.6,.476E+08
31,12,1993,7,7,hru07           ,619.,.466E+05,.414E+05,.946E+08
31,12,1993,8,8,hru08           ,615.,.752E+06,18.7,.590E+08
31,12,1993,9,9,hru09           ,.143E+04,.393E+07,43.3,.118E+09
31,12,1993,10,10,hru10           ,3.58,.302E+04,603.,.586E+06
31,12,1993,11,11,hru11           ,9.78,271.,.153E+04,.161E+07
31,12,1993,12,12,hru12           ,2.12,120.,372.,.349E+06
31,12,1993,13,13,hru13           ,.394E+04,.214E+07,121.,.642E+09
31,1,1994,1,1,hru01           ,5.40,.107E+04,564.,.733E+06
31,1,1994,2,2,hru02           ,3.43,172.,.106,.493E+06
31,1,1994,3,3,hru03           ,968.,.372E+06,.608E+06,.175E+09
31,1,1994,4,4,hru04           ,905.,.596E+05,.264E+06,.149E+09
31,1,1994,5,5,hru05           ,.209E+04,.161E+08,63.7,.189E+09
31,1,1994,6,6,hru06           ,536.,.116E+08,16.6,.436E+08
31,1,1994,7,7,hru07           ,619.,.228E+05,.480E+06,.921E+08
31,1,1994,8,8,hru08           ,615.,.525E+07,18.7,.555E+08
31,1,1994,9,9,hru09           ,.143E+04,.237E+08,.193E+08,.112E+09
31,1,1994,10,10,hru10           ,3.58,.354E+04,786.,.615E+06
31,1,1994,11,11,hru11           ,9.78,247.,.147E+04,.169E+07
31,1,1994,12,12,hru12           ,2.12,186.,799.,.366E+06
31,1,1994,13,13,hru13           ,.394E+04,.699E+07,121.,.762E+09
28,2,1994,1,1,hru01           ,5.40,231.,.126E+05,.693E+06
28,2,1994,2,2,hru02           ,3.43,.00,48.9,.188E+06
28,2,1994,3,3,hru03           ,968.,.417E+05,.354E+05,.997E+08
28,2,1994,4,4,hru04           ,905.,.236E+04,.174E+07,.712E+08
28,2,1994,5,5,hru05           ,.209E+04,.175E+08,57.5,.175E+09
28,2,1994,6,6,hru06           ,536.,.146E+08,15.0,.391E+08
28,2,1994,7,7,hru07           ,619.,.138E+04,.137E+06,.594E+08
28,2,1994,8,8,hru08           ,615.,.562E+07,16.9,.513E+08
28,2,1994,9,9,hru09           ,.143E+04,.283E+08,.258E+05,.999E+08
28,2,1994,10,10,hru10           ,3.58,.245,.100,.116E+06
28,2,1994,11,11,hru11           ,9.78,.00,.264,.320E+06
28,2,1994,12,12,hru12           ,2.12,2.81,.589E-01,.684E+05
28,2,1994,13,13,hru13           ,.394E+04,.303E+06,110.,.192E+09
31,3,1994,1,1,hru01           ,5.40,.00,.167,.959E+05
31,3,1994,2,2,hru02           ,3.43,.00,.106,.498E+05
